"1985","2024","Area (ha)"
"Forest","Forest","487919982.11813235"
"Forest","Herbaceous and Shrubby Vegetation","1942849.3885658628"
"Forest","Farming","116391871.73088674"
"Forest","Non vegetated area","1302937.6260533866"
"Forest","Water and Marine Environment","1715058.0496051777"
"Herbaceous and Shrubby Vegetation","Forest","2708585.7523450693"
"Herbaceous and Shrubby Vegetation","Herbaceous and Shrubby Vegetation","38767078.56201888"
"Herbaceous and Shrubby Vegetation","Farming","10185963.908995837"
"Herbaceous and Shrubby Vegetation","Non vegetated area","323670.59591509344"
"Herbaceous and Shrubby Vegetation","Water and Marine Environment","1137325.027324594"
"Farming","Forest","14789151.831833113"
"Farming","Herbaceous and Shrubby Vegetation","1469178.0748226268"
"Farming","Farming","145241077.16169137"
"Farming","Non vegetated area","2137759.9342960846"
"Farming","Water and Marine Environment","607648.2576887081"
"Non vegetated area","Forest","154865.3197382994"
"Non vegetated area","Herbaceous and Shrubby Vegetation","95255.88523289813"
"Non vegetated area","Farming","843431.5822787227"
"Non vegetated area","Non vegetated area","2780840.83098544"
"Non vegetated area","Water and Marine Environment","53225.56719561755"
"Water and Marine Environment","Forest","1144241.0883093188"
"Water and Marine Environment","Herbaceous and Shrubby Vegetation","4321508.594634739"
"Water and Marine Environment","Farming","507614.8344942025"
"Water and Marine Environment","Non vegetated area","84188.20951182253"
"Water and Marine Environment","Water and Marine Environment","14146085.961134449"
